"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"906","CAFR0080-B","U.S. Forest","Heartwood Forestland"," The Forestland",35396,35396,0.00%,"2010","CCO-0","Early Action",2017-11-12,2014-11-12,2014-11-12,"CAR645"
"905","CAOD0016-D2","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",11940,11940,0.00%,"2010","CCO-0","Compliance",2017-11-25,2014-11-25,2014-11-25,"CAR604"
"904","CAOD0076-A","Ozone Depleting Substances","Pure Chem","Pure Chem Domestic ODS",27437,0,100.00%,"2010","CCO-8","Early Action",2022-11-25,2014-11-25,2014-11-25,"CAR781"
"903","CALS0035-B","Livestock","Origin Climate Inc.","Scenic View Dairy",15000,0,100.00%,"2010","CCO-0","Compliance",2018-01-13,2015-01-13,2015-01-13,"CAR418"
"902","CAOD0016-F","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",103494,30089,70.93%,"2010","CCO-8","Compliance",2023-01-13,2015-01-13,2015-01-13,"CAR604"
"901","CAOD0016-E","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",138575,55000,60.31%,"2010","CCO-8","Compliance",2023-01-13,2015-01-13,2015-01-13,"CAR604"
"900","CAFR0063-D","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",41237,0,100.00%,"2010","CCO-0","Early Action",2018-02-24,2015-02-24,2015-02-24,"CAR749"
"899","CAMM0095-A","Mine Methane","Biothermica Coal","Vamox® Demonstration Project",25931,25931,0.00%,"2010","CCO-0","Compliance",2018-02-24,2015-02-24,2015-02-24,"CAR577"
"898","CAFR0029-A","U.S. Forest","Mattamuskeet","Blue Source :  Alligator River",89759,89759,0.00%,"2010","CCO-8","Compliance",2023-04-07,2015-04-07,2015-04-07,"CAR497"
"897","CALS0099-A","Livestock","Cargill, Inc.","The B6 Dairy Farm",9591,0,100.00%,"2010","CCO-8","Compliance",2023-07-21,2015-07-21,2015-07-21,"CAR593"
"896","CAFR0073-D","U.S. Forest","Bascom Pacific, LLC","McCloud River",16192,0,100.00%,"2010","CCO-8","Compliance",2023-08-11,2015-08-11,2015-08-11,"CAR429"
"895","CALS0036-C","Livestock","Origin Climate Inc.","Brook View Dairy",10000,0,100.00%,"2010","CCO-0","Compliance",2018-08-25,2015-08-25,2015-08-25,"CAR419"
"894","CAFR0088-A","U.S. Forest","Shannondale Carbon,"," Shannondale",121213,0,100.00%,"2010","CCO-0","Compliance",2018-09-08,2015-09-08,2015-09-08,"CAR780"
"893","CALS0008-B","Livestock","Environmental Credit","Miedema Dairy",1469,0,100.00%,"2010","CCO-8","Compliance",2023-09-08,2015-09-08,2015-09-08,"CAR836"
"892","CALS0032-C","Livestock","Origin Climate Inc.","Pagel's Ponderosa Dairy",9000,0,100.00%,"2010","CCO-0","Compliance",2018-09-22,2015-09-22,2015-09-22,"CAR532"
"891","CAOD0016-D3","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",25000,0,100.00%,"2010","CCO-0","Compliance",2018-09-22,2015-09-22,2015-09-22,"CAR604"
"890","CAFR0026-F","U.S. Forest","David Dicktel","Blue Source :  Pungo River",10838,0,100.00%,"2010","CCO-8","Compliance",2023-09-22,2015-09-22,2015-09-22,"CAR659"
"889","CAOD0016-D4","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",10000,0,100.00%,"2010","CCO-0","Compliance",2018-10-13,2015-10-13,2015-10-13,"CAR604"
"888","CAOD0016-C2","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",105000,0,100.00%,"2010","CCO-0","Compliance",2018-10-13,2015-10-13,2015-10-13,"CAR604"
"887","CAFR0026-F2","U.S. Forest","David Dicktel","Blue Source :  Pungo River",650,567,12.77%,"2010","CCO-8","Compliance",2023-10-13,2015-10-13,2015-10-13,"CAR659"
"886","CAFR0103-D","U.S. Forest","MWF Brimstone"," MWF",8927,0,100.00%,"2010","CCO-0","Early Action",2018-10-27,2015-10-27,2015-10-27,"CAR582"
"885","CALS0082-C","Livestock","Dairy Dreams, LLC","Dairy Dreams",384,0,100.00%,"2010","CCO-0","Early Action",2018-10-27,2015-10-27,2015-10-27,"CAR994"
"884","CAFR0027-F","U.S. Forest","Michael A. Noles","Blue Source :  Noles South",4596,2298,50.00%,"2010","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR802"
"883","CAFR0028-F","U.S. Forest","Michael A. Noles","Blue Source :  Noles North",4826,0,100.00%,"2010","CCO-8","Early Action",2023-10-27,2015-10-27,2015-10-27,"CAR688"
"882","CAFR0031-F","U.S. Forest","Brinkley Melvin","Blue Source :  Pocosin Lakes",23302,0,100.00%,"2010","CCO-8","Compliance",2023-10-27,2015-10-27,2015-10-27,"CAR676"
"881","CAFR0040-A","U.S. Forest","The Conservation","Garcia River Forest",81,81,0.00%,"2010","CCO-8","Early Action",2023-11-09,2015-11-09,2015-11-09,"CAR102"
"880","CAMM0118-A","Mine Methane","Keyrock Energy, LLC","Corinth Abandoned Mine",94393,30000,68.22%,"2010","CCO-8","Compliance",2023-11-09,2015-11-09,2015-11-09,"573"
"879","CAFR0087-A","U.S. Forest","Norfolk Southern"," Brosnan Forest",254560,0,100.00%,"2010","CCO-0","Compliance",2018-11-23,2015-11-23,2015-11-23,"CAR658"
"878","CALS0117-B","Livestock","Aurora Ridge Dairy,","Aurora Ridge",10352,0,100.00%,"2010","CCO-0","Early Action",2018-12-08,2015-12-08,2015-12-08,"CAR607"
"877","CALS0012-E","Livestock","Camco International","Riverview Farm Anaerobic",26684,10779,59.61%,"2010","CCO-0","Early Action",2018-12-22,2015-12-22,2015-12-22,"CAR449"
