"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"236","CALS5074-D","Livestock","CSE Operating I, LLC","CSE Arizona Facility",14915,0,100.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2017-12-12,"CAR1076"
"235","CALS5122-C","Livestock","Bridgewater Dairy,","Bridgewater Dairy LLC",9075,9075,0.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2017-09-26,"CAR1122"
"234","CALS5123-C","Livestock","Central Sands Dairy,","Central Sands Dairy, LLC",17443,17443,0.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2018-03-13,"CAR1123"
"233","CALS5124-C","Livestock","Willow Point Dairy,","Willow Point Dairy, LLC",17721,17721,0.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2018-01-23,"CAR1124"
"232","CALS5146-B","Livestock","WTE-Dallmann, LLC","WTE:Dallmann, LLC",16880,0,100.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2018-03-27,"CAR1143"
"231","CALS5153-B","Livestock","Holsum Dairies, LLC","Holsum Elm Dairy",13510,0,100.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2018-04-24,"CAR1153"
"230","CALS5154-C","Livestock","Holsum Dairies, LLC","Holsum Irish Dairy",13973,0,100.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2018-05-08,"CAR1154"
"229","CALS5284-B","Livestock","ClimeCo Corporation","Spruce Haven Farm COP",6575,0,100.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2018-06-12,"CAR1184"
"228","CALS5355-A","Livestock","3Degrees Group, Inc.","Greenwood Dairy Anaerobic",8240,0,100.00%,"2017","CCO-3","Compliance",2020-03-31,2017-03-31,2017-11-21,"ACR355"
"227","CALS5094-B","Livestock","George DeRuyter and","George DeRuyter and Sons",10280,0,100.00%,"2017","CCO-8","Compliance",2025-03-31,2017-03-31,2017-09-12,"CAR1080"
"226","CAOD5338-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 20",72606,2606,96.41%,"2017","CCO-3","Compliance",2020-04-10,2017-04-10,2017-09-12,"CAR1258"
"225","CAOD5358-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 358",60749,0,100.00%,"2017","CCO-8","Compliance",2025-04-12,2017-04-12,2017-07-25,"ACR358"
"224","CAFR5106-B","U.S. Forest","The Conservation","Big River / Salmon Creek",57954,57954,0.00%,"2017","CCO-8","Compliance",2025-04-15,2017-04-15,2018-09-25,"CAR1100"
"223","CAOD5288-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",110990,0,100.00%,"2017","CCO-3","Compliance",2020-04-20,2017-04-20,2017-12-12,"CAR1244"
"222","CALS5077-D","Livestock","Solar & Renewables","Stotz Southern Generation",16401,0,100.00%,"2017","CCO-3","Compliance",2020-04-30,2017-04-30,2017-10-10,"CAR1078"
"221","CALS5180-B","Livestock","Green Valley Dairy,","Green Valley Dairy Methane",16124,0,100.00%,"2017","CCO-3","Compliance",2020-04-30,2017-04-30,2018-01-23,"CAR1106"
"220","CAFR5130-C","U.S. Forest","MWF Brimstone"," MWF",9129,9129,0.00%,"2017","CCO-8","Compliance",2025-04-30,2017-04-30,2019-05-21,"CAR1130"
"219","CAFR5207-A","U.S. Forest","Quercus West","Blue Source :  Powellton",1251198,1156115,7.60%,"2017","CCO-8","Compliance",2025-04-30,2017-04-30,2018-03-27,"ACR267"
"218","CAFR5226-A","U.S. Forest","Allegheny Rural","Blue Source :  Allegheny",1711529,157574,90.79%,"2017","CCO-8","Compliance",2025-04-30,2017-04-30,2018-10-23,"ACR276"
"217","CAFR5230-A","U.S. Forest","Heartwood Forestland","Blue Source :  Marmet",823265,823265,0.00%,"2017","CCO-8","Compliance",2025-04-30,2017-04-30,2019-03-12,"ACR280"
"216","CAOD5379-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 6",120918,77963,35.52%,"2017","CCO-3","Compliance",2020-05-21,2017-05-21,2017-07-25,"ACR379"
"215","CAFR5309-A","U.S. Forest","Wolf River ATP, LP","Blue Source :  Wolf River",478930,171000,64.30%,"2017","CCO-3","Compliance",2020-05-31,2017-05-31,2018-10-23,"CAR1209"
"214","CALS5346-A","Livestock","Woodcrest Dairy, LLC","Woodcrest Dairy Digester",6193,6193,0.00%,"2017","CCO-3","Compliance",2020-05-31,2017-05-31,2018-02-13,"CAR1246"
"213","CAFR5055-D","U.S. Forest","Sustainable","Buckeye Forest Project",58030,13030,77.55%,"2017","CCO-8","Compliance",2025-05-31,2017-05-31,2018-09-11,"CAR1013"
"212","CAFR5137-B","U.S. Forest","The Conservation","Gualala River Forest :  ARB",68596,8596,87.47%,"2017","CCO-8","Compliance",2025-05-31,2017-05-31,2018-08-21,"CAR1099"
"211","CAFR5229-A","U.S. Forest","Heartwood Forestland","Blue Source :  Lonesome Pine",447124,447124,0.00%,"2017","CCO-8","Compliance",2025-05-31,2017-05-31,2019-03-26,"ACR279"
"210","CAFR5220-A","U.S. Forest","Mendocino Redwood","Greenwood Creek",267975,267975,0.00%,"2017","CCO-8","Compliance",2025-06-03,2017-06-03,2019-04-09,"CAR1190"
"209","CAOD5344-A","Ozone Depleting Substances","Reclamation","A:Gas Americas 2017:4",122128,50000,59.06%,"2017","CCO-3","Compliance",2020-06-13,2017-06-13,2017-08-22,"CAR1263"
"208","CAFR5208-A","U.S. Forest","Holland M. Ware","Green Assets :  HMWCF:I",729216,210418,71.14%,"2017","CCO-8","Compliance",2025-06-23,2017-06-23,2018-09-25,"ACR268"
"207","CAOD5347-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas 2017:5",50793,0,100.00%,"2017","CCO-8","Compliance",2025-06-23,2017-06-23,2018-07-10,"CAR1267"
"206","CALS5322-A","Livestock","Statz Bros., Inc.","Statz Bros. Home Farm",10926,0,100.00%,"2017","CCO-3","Compliance",2020-06-30,2017-06-30,2017-12-12,"ACR322"
"205","CALS5323-A","Livestock","Statz Bros., Inc.","Statz B Farm Anaerobic",20009,0,100.00%,"2017","CCO-3","Compliance",2020-06-30,2017-06-30,2017-12-26,"ACR323"
"204","CAFR5016-E","U.S. Forest","Edward Miller Trust","Miller Forest",6281,5730,8.77%,"2017","CCO-8","Compliance",2025-06-30,2017-06-30,2017-10-24,"ACR189"
"203","CAFR5043-D","U.S. Forest","Goodman Forest, LLC","Blue Source :  Goodman",68490,68490,0.00%,"2017","CCO-8","Compliance",2025-06-30,2017-06-30,2019-07-23,"ACR202"
"202","CAFR5192-A","U.S. Forest","Berea College","Forest Carbon Partners : ",303715,303715,0.00%,"2017","CCO-8","Compliance",2025-06-30,2017-06-30,2019-07-23,"CAR1173"
"201","CAFR5200-C","U.S. Forest","Edward Miller Trust","Brush Creek",9436,9436,0.00%,"2017","CCO-8","Compliance",2025-06-30,2017-06-30,2018-01-09,"ACR200"
"200","CAFR5232-B","U.S. Forest","Western Rivers","Blue Creek",183464,0,100.00%,"2017","CCO-8","Compliance",2025-06-30,2017-06-30,2018-06-12,"ACR282"
"199","CAFR5280-B","U.S. Forest","Mailliard Ranch, a","Mailliard Ranch",39896,39896,0.00%,"2017","CCO-8","Compliance",2025-06-30,2017-06-30,2019-08-27,"CAR1180"
"198","CALS5144-C","Livestock","ClimeCo Corporation","Patterson Farms COP",3983,0,100.00%,"2017","CCO-8","Compliance",2025-06-30,2017-06-30,2018-09-11,"CAR1137"
"197","CALS5353-A","Livestock","Cow Poo, LLC","Cow Poo Digester",7781,44,99.43%,"2017","CCO-8","Compliance",2025-06-30,2017-06-30,2017-12-26,"ACR353"
"196","CAFR5360-A","U.S. Forest","Ahtna, Incorporated"," Ahtna Native",12502637,8061951,35.52%,"2017","CCO-8","Compliance",2025-07-02,2017-07-02,2018-10-09,"ACR360"
"195","CAFR5225-B","U.S. Forest","Confederated Tribes"," Colville IFM",172632,172632,0.00%,"2017","CCO-8","Compliance",2025-07-07,2017-07-07,2018-11-27,"ACR255"
"194","CAOD5368-A","Ozone Depleting Substances","Reclamation","A:Gas Americas 2017:6",55404,0,100.00%,"2017","CCO-3","Compliance",2020-07-15,2017-07-15,2017-10-24,"CAR1268"
"193","CAOD5366-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 21",140452,0,100.00%,"2017","CCO-3","Compliance",2020-07-24,2017-07-24,2018-01-09,"CAR1271"
"192","CAFR5084-D","U.S. Forest","Potlatch Forest"," Potlatch Moro",7239,7239,0.00%,"2017","CCO-8","Compliance",2025-07-26,2017-07-26,2019-09-24,"CAR1086"
"191","CALS5128-C","Livestock","Farm Power","Farm Power Lynden Anaerobic",9347,0,100.00%,"2017","CCO-3","Compliance",2020-07-31,2017-07-31,2018-02-13,"CAR1128"
"190","CALS5289-B","Livestock","3Degrees Group, Inc.","Homestead Green Energy",6721,0,100.00%,"2017","CCO-3","Compliance",2020-07-31,2017-07-31,2018-07-10,"ACR259"
"189","CAFR5224-A","U.S. Forest","Eddie Ranch","Forest Carbon Partners :  Eddie",222177,222177,0.00%,"2017","CCO-8","Compliance",2025-07-31,2017-07-31,2019-03-12,"CAR1174"
"188","CALS5014-E","Livestock","Blue Mountain Biogas,","Blue Mountain Biogas",21603,11156,48.36%,"2017","CCO-8","Compliance",2025-07-31,2017-07-31,2018-04-24,"CAR997"
"187","CALS5143-A","Livestock","Grotegut Dairy Farm,","Grotegut Dairy Farm, Inc.",4057,0,100.00%,"2017","CCO-8","Compliance",2025-07-31,2017-07-31,2018-08-21,"CAR1135"
"186","CALS5155-C","Livestock","Maple Leaf Dairy, Inc.","Maple Leaf Dairy West",11914,11914,0.00%,"2017","CCO-8","Compliance",2025-07-31,2017-07-31,2018-09-11,"CAR1155"
"185","CALS5156-C","Livestock","Maple Leaf Dairy, Inc.","Maple Leaf Dairy East",7128,7128,0.00%,"2017","CCO-8","Compliance",2025-07-31,2017-07-31,2018-09-11,"CAR1156"
"184","CALS5176-C","Livestock","Dairy Energy, Inc.","Vanderhyde Dairy",8724,8724,0.00%,"2017","CCO-8","Compliance",2025-07-31,2017-07-31,2018-06-26,"CAR1146"
"183","CAFR5297-A","U.S. Forest","Upper Hudson"," Upper Hudson",1139633,1139633,0.00%,"2017","CCO-8","Compliance",2025-08-11,2017-08-11,2019-02-26,"CAR1197"
"182","CAFR5304-A","U.S. Forest","AMC Maine Woods"," AMC Silver",139152,139152,0.00%,"2017","CCO-8","Compliance",2025-08-11,2017-08-11,2018-10-23,"CAR1204"
"181","CAFR5105-C","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",42424,0,100.00%,"2017","CCO-3","Compliance",2020-08-14,2017-08-14,2018-05-22,"CAR1109"
"180","CALS5183-A","Livestock","ABEC Bidart-Old","CalBio ORRD Project",74174,48985,33.96%,"2017","CCO-8","Compliance",2025-08-25,2017-08-25,2018-07-24,"CAR1136"
"179","CAOD5383-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 7",138972,0,100.00%,"2017","CCO-3","Compliance",2020-08-28,2017-08-28,2017-10-24,"ACR383"
"178","CALS5139-C","Livestock","Edaleen Cow Power,","Edaleen Cow Power, LLC",8424,8424,0.00%,"2017","CCO-3","Compliance",2020-08-31,2017-08-31,2018-06-12,"ACR239"
"177","CALS5365-A","Livestock","Philip Verwey Farms","Verwey Hanford Dairy Digester",49518,49518,0.00%,"2017","CCO-3","Compliance",2020-08-31,2017-08-31,2018-04-24,"CAR1265"
"176","CAFR5089-D","U.S. Forest","Jackson Timberland"," JTO Champion",25811,25811,0.00%,"2017","CCO-8","Compliance",2025-08-31,2017-08-31,2018-11-13,"CAR1088"
"175","CAFR5195-C","U.S. Forest","Passamaquoddy Joint","",107913,107913,0.00%,"2017","CCO-8","Compliance",2025-08-31,2017-08-31,2018-11-27,"CAR1175"
"174","CAFR5315-A","U.S. Forest","Corrigan TLP, LLC"," Molpus Ataya",2576141,2576141,0.00%,"2017","CCO-8","Compliance",2025-08-31,2017-08-31,2019-03-12,"CAR1215"
"173","CAFR5371-A","U.S. Forest","Great Mountain Forest","Blue Source :  Great Mountain",293972,293972,0.00%,"2017","CCO-8","Compliance",2025-09-09,2017-09-09,2019-05-07,"ACR371"
"172","CAOD5372-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",51298,0,100.00%,"2017","CCO-8","Compliance",2025-09-09,2017-09-09,2018-01-23,"CAR1272"
"171","CALS5223-C","Livestock","UW-Oshkosh","Rosendale Anaerobic Digester",29410,29410,0.00%,"2017","CCO-8","Compliance",2025-09-15,2017-09-15,2018-05-08,"ACR283"
"170","CAOD5385-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 8",138331,111655,19.28%,"2017","CCO-3","Compliance",2020-09-18,2017-09-18,2017-12-12,"ACR385"
"169","CAOD5362-A","Ozone Depleting Substances","Reclamation","A:Gas Americas 2017:8",223464,111732,50.00%,"2017","CCO-3","Compliance",2020-09-19,2017-09-19,2017-12-12,"CAR1270"
"168","CAOD5369-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas 2017:7",33184,25000,24.66%,"2017","CCO-3","Compliance",2020-09-19,2017-09-19,2017-12-26,"CAR1269"
"167","CALS5032-E","Livestock","New Energy One, LLC","New Energy One Livestock",39743,0,100.00%,"2017","CCO-3","Compliance",2020-09-30,2017-09-30,2018-06-12,"CAR1022"
"166","CALS5109-C","Livestock","Dairy Dreams, LLC","Dairy Dreams Methane",16999,0,100.00%,"2017","CCO-3","Compliance",2020-09-30,2017-09-30,2018-03-27,"CAR1097"
"165","CALS5349-B","Livestock","3Degrees Group, Inc.","Kettle Butte Digester",24220,17759,26.68%,"2017","CCO-3","Compliance",2020-09-30,2017-09-30,2018-03-27,"ACR349"
"164","CAFR5096-D","U.S. Forest","Coastal Forestlands,","Brushy Mountain",60036,60036,0.00%,"2017","CCO-8","Compliance",2025-09-30,2017-09-30,2018-08-21,"CAR1095"
"163","CAFR5212-C","U.S. Forest","Ross Bewley","Bewley Ranches",57955,57955,0.00%,"2017","CCO-8","Compliance",2025-09-30,2017-09-30,2019-01-22,"ACR262"
"162","CALS5097-D","Livestock","Pagel's Ponderosa","Pagel's Ponderosa Dairy",2648,2648,0.00%,"2017","CCO-8","Compliance",2025-09-30,2017-09-30,2019-01-08,"CAR1049"
"161","CAOD5327-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 22",53956,0,100.00%,"2017","CCO-3","Compliance",2020-10-13,2017-10-13,2018-06-12,"CAR1277"
"160","CAFR5205-C","U.S. Forest","Lukens Island Timber","Green Assets :  Lukens",18762,18762,0.00%,"2017","CCO-8","Compliance",2025-10-29,2017-10-29,2019-08-13,"ACR265"
"159","CALS5023-E","Livestock","DF-AP#1, LLC","Big Sky Dairy",24835,24835,0.00%,"2017","CCO-8","Compliance",2025-10-29,2017-10-29,2018-08-21,"ACR190"
"158","CALS5245-B","Livestock","Open Sky Ranch, Inc.","Open Sky Ranch Dairy Digester",22684,22684,0.00%,"2017","CCO-3","Compliance",2020-10-31,2017-10-31,2018-04-24,"CAR1178"
"157","CALS5042-E","Livestock","Sunny Knoll Farms","Sunny Knoll Farms Anaerobic",5735,0,100.00%,"2017","CCO-8","Compliance",2025-10-31,2017-10-31,2018-05-22,"CAR1033"
"156","CALS5101-C","Livestock","ClimeCo Corporation","Vander Haak Dairy COP",2372,2372,0.00%,"2017","CCO-8","Compliance",2025-10-31,2017-10-31,2018-12-11,"CAR1101"
"155","CALS5126-C","Livestock","Riverview, LLP","West River Farm Anaerobic",17067,0,100.00%,"2017","CCO-8","Compliance",2025-10-31,2017-10-31,2018-04-24,"CAR1126"
"154","CALS5127-C","Livestock","Riverview, LLP","District 45 Dairy",13879,0,100.00%,"2017","CCO-8","Compliance",2025-10-31,2017-10-31,2018-04-24,"CAR1127"
"153","CALS5175-C","Livestock","Storms Hog Power","Storms Hog Power, LLC",13603,13603,0.00%,"2017","CCO-8","Compliance",2025-10-31,2017-10-31,2018-09-25,"CAR1145"
"152","CALS5345-A","Livestock","Maas Energy Works,","Van Steyn Dairy Digester",5572,3310,40.60%,"2017","CCO-8","Compliance",2025-10-31,2017-10-31,2018-03-27,"CAR1245"
"151","CAOD5387-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 9",129854,0,100.00%,"2017","CCO-3","Compliance",2020-11-04,2017-11-04,2018-01-09,"ACR387"
"150","CALS5134-C","Livestock","Alliance Dairies","Alliance Dairy",14054,14054,0.00%,"2017","CCO-3","Compliance",2020-11-05,2017-11-05,2019-01-22,"ACR234"
"149","CALS5319-A","Livestock","Lamb Farms, Inc.","Lambs Dairy Digester",16113,0,100.00%,"2017","CCO-3","Compliance",2020-11-15,2017-11-15,2018-07-10,"CAR1253"
"148","CAOD5328-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 23",44681,2627,94.12%,"2017","CCO-3","Compliance",2020-11-15,2017-11-15,2018-09-11,"CAR1278"
"147","CALS5181-C","Livestock","Gardeau Crest Farms,","Gardeau Crest Dairy",13612,13612,0.00%,"2017","CCO-3","Compliance",2020-11-26,2017-11-26,2018-07-24,"ACR241"
"146","CAOD5326-A","Ozone Depleting Substances","Reclamation","A:Gas Americas 2018:1",154972,0,100.00%,"2017","CCO-8","Compliance",2025-11-28,2017-11-28,2018-03-13,"CAR1286"
"145","CALS5138-C","Livestock","Willet Dairy, LLC","Willet Dairy",14212,14212,0.00%,"2017","CCO-3","Compliance",2020-11-29,2017-11-29,2018-07-10,"ACR238"
"144","CALS5135-C","Livestock","Synergy Biogas, LLC","Synergy Biogas, LLC",7020,7020,0.00%,"2017","CCO-3","Compliance",2020-11-30,2017-11-30,2018-07-24,"ACR235"
"143","CALS5263-C","Livestock","Davis Family Dairies,","High Island Dairy",14815,14815,0.00%,"2017","CCO-3","Compliance",2020-11-30,2017-11-30,2018-07-10,"ACR313"
"142","CAFR5373-A","U.S. Forest","Northwoods ATP, LP","Blue Source :  Northwoods",325415,325415,0.00%,"2017","CCO-8","Compliance",2025-12-01,2017-12-01,2019-02-26,"ACR373"
"141","CAFR5294-B","U.S. Forest","Sealaska Corporation"," Sealaska",293129,293129,0.00%,"2017","CCO-8","Compliance",2025-12-09,2017-12-09,2018-12-11,"ACR324"
"140","CAFR5206-C","U.S. Forest","Milbury Plantation,","Green Assets :  Milbury",302260,302260,0.00%,"2017","CCO-3","Compliance",2020-12-10,2017-12-10,2018-08-07,"ACR266"
"139","CAOD5331-A","Ozone Depleting Substances","Perfect Score","Perfect Cycle ODS:3",52930,0,100.00%,"2017","CCO-3","Compliance",2020-12-15,2017-12-15,2018-05-08,"CAR1287"
"138","CAFR5233-B","U.S. Forest","Green Diamond","Green Diamond Resource",285782,285782,0.00%,"2017","CCO-8","Compliance",2025-12-15,2017-12-15,2019-02-26,"ACR273"
"137","CALS5108-C","Livestock","Ag Power Jerome,","Double A Dairy",55058,55058,0.00%,"2017","CCO-3","Compliance",2020-12-21,2017-12-21,2018-06-26,"ACR233"
"136","CALS5107-C","Livestock","Ag Power DCD, LLC","The Dry Creek Dairy Biofactory",55174,55174,0.00%,"2017","CCO-3","Compliance",2020-12-31,2017-12-31,2018-09-25,"ACR232"
"135","CAMM5100-D","Mine Methane","McElroy Green","Marshall County VAM",269823,82605,69.39%,"2017","CCO-3","Compliance",2020-12-31,2017-12-31,2018-09-11,"ACR226"
"134","CAMM5244-B","Mine Methane","Keyrock Energy, LLC","Corinth Abandoned Mine",205323,204700,0.30%,"2017","CCO-3","Compliance",2020-12-31,2017-12-31,2018-05-08,"ACR388 (RP2-RP3)"
"133","CAFR5147-B","U.S. Forest","The Nature","Virginia Conservation Forestry",33378,33378,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2019-01-22,"CAR1147"
"132","CAFR5159-B","U.S. Forest","The Nature","Virginia Conservation Forestry",19194,19194,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2019-01-08,"CAR1159"
"131","CAFR5160-B","U.S. Forest","The Nature","Virginia Conservation Forestry",11791,11791,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2019-01-08,"CAR1160"
"130","CAFR5281-B","U.S. Forest","Usal Redwood Forest","Usal Redwood Forest :  IFM",235963,0,100.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2018-10-09,"CAR1139"
"129","CALS5044-E","Livestock","ClimeCo Corporation","T&M Bos Dairy",14687,14687,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2019-01-22,"CAR1055"
"128","CALS5046-E","Livestock","ClimeCo Corporation","T&M Hidden View Dairy",7879,7879,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2019-02-12,"CAR1057"
"127","CALS5047-E","Livestock","ClimeCo Corporation","T&M Windy Ridge Dairy",19801,19801,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2019-02-12,"CAR1058"
"126","CALS5081-C","Livestock","Roeslein Alternative","Roeslein Alternative Energy of",29953,29953,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2019-03-26,"CAR1083"
"125","CALS5131-C","Livestock","Pacific Rim Energy,","Pacific Rim Dairy Digester",5309,5309,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2018-06-26,"CAR1108"
"124","CALS5132-D","Livestock","RES Agriculture NC1,","RES Ag :  DM4:3 LLC",11750,11750,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2018-10-23,"CAR1132"
"123","CALS5133-D","Livestock","RES Agriculture NC1,","RES Ag :  DM2:1 LLC",6549,6549,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2018-10-23,"CAR1133"
"122","CALS5142-B","Livestock","Fiscalini Properties,","Fiscalini Farms Anaerobic",3175,3175,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2018-12-24,"CAR1142"
"121","CALS5145-B","Livestock","ClimeCo Corporation","Sunnyside Farms COP",25363,25363,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2019-02-12,"CAR1138"
"120","CALS5151-C","Livestock","Gallo Cattle Company,","Cottonwood Dairy Livestock",7893,7893,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2018-10-09,"CAR1151"
"119","CALS5152-D","Livestock","Aurora Ridge Dairy,","Aurora Ridge Dairy",13353,13353,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2018-12-11,"CAR1152"
"118","CALS5197-C","Livestock","Pixley Biogas, LLC","Pixley Biogas, LLC",3657,3657,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2019-05-07,"CAR1177"
"117","CAMM5178-C","Mine Methane","Solvay Chemicals, Inc.","Solvay Chemicals, Inc. Waste",320214,320214,0.00%,"2017","CCO-8","Compliance",2025-12-31,2017-12-31,2018-09-11,"CAR1105"
"399","CAFR5034-C","U.S. Forest","Connecticut Lakes"," The Forestland",243447,243447,0.00%,"2016","CCO-8","Compliance",2024-01-07,2016-01-07,2018-12-24,"ACR199"
"398","CAOD5215-A","Ozone Depleting Substances","Wabashco, LLC","Wabashco Clean Sweep 7",116836,51579,55.85%,"2016","CCO-0","Compliance",2019-01-12,2016-01-12,2016-03-22,"ACR275"
"397","CAOD5211-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 271",124882,0,100.00%,"2016","CCO-8","Compliance",2024-01-24,2016-01-24,2016-03-22,"ACR271"
"396","CALS5025-C","Livestock","Ideal Family Farms,","Ideal Family Farms Digester",4832,4832,0.00%,"2016","CCO-0","Compliance",2019-01-31,2016-01-31,2017-04-11,"CAR1002"
"395","CALS5040-B","Livestock","Scenic View Dairy,","Scenic View Dairy Methane",18328,0,100.00%,"2016","CCO-0","Compliance",2019-01-31,2016-01-31,2016-07-26,"CAR1035"
"394","CALS5041-C","Livestock","Brook View Dairy, LLC","Brook View Dairy Methane",17237,0,100.00%,"2016","CCO-0","Compliance",2019-01-31,2016-01-31,2016-07-12,"CAR1036"
"393","CALS5045-C","Livestock","ClimeCo Corporation","T&M Herrema Dairy",16008,0,100.00%,"2016","CCO-0","Compliance",2019-01-31,2016-01-31,2017-04-11,"CAR1056"
"392","CAMM5173-A","Mine Methane","North Fork Energy,","Elk Creek Coal Mine Methane",266263,237015,10.98%,"2016","CCO-0","Compliance",2019-01-31,2016-01-31,2016-12-27,"ACR243"
"391","CAFR5204-A","U.S. Forest","Tennessee River"," Tennessee",272988,53007,80.58%,"2016","CCO-8","Compliance",2024-02-11,2016-02-11,2016-11-08,"ACR256"
"390","CAFR5141-A","U.S. Forest","The Conservation","Garcia River Forest :  ARB",82509,50754,38.49%,"2016","CCO-8","Compliance",2024-02-14,2016-02-14,2017-06-13,"CAR1098"
"389","CAOD5262-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 312",140871,140871,0.00%,"2016","CCO-8","Compliance",2024-02-25,2016-02-25,2016-04-26,"ACR312"
"388","CAFR5238-A","U.S. Forest","Compatible Lands","Camp Shelby Forest Carbon",18683,18683,0.00%,"2016","CCO-8","Compliance",2024-02-28,2016-02-28,2017-11-21,"ACR288"
"387","CALS5169-A","Livestock","TMF Biofuels, LLC","TMF Biofuels Dairy Digester",40632,15632,61.53%,"2016","CCO-0","Compliance",NA,2016-02-29,2017-04-11,"CAR1169"
"386","CALS5332-A","Livestock","Arlin Benner","Yippee Farms",9696,9696,0.00%,"2016","CCO-0","Compliance",NA,2016-02-29,2017-05-09,"CAR1232"
"385","CAFR5198-A","U.S. Forest","Heartwood Forestland"," The",2384535,873112,63.38%,"2016","CCO-0","Compliance",2019-03-23,2016-03-23,2016-12-13,"ACR248"
"384","CALS5019-C","Livestock","WTE Wakker, LLC","Wakker Digester",11479,11479,0.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2016-10-25,"CAR989"
"383","CALS5020-C","Livestock","WTE Deer Run, LLC","Deer Run Digester",6837,6837,0.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2016-10-25,"CAR982"
"382","CALS5021-C","Livestock","WTE Dairyland, LLC","Dairyland Digester",23033,23033,0.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2016-10-11,"CAR969"
"381","CALS5030-A","Livestock","WTE-S&S Ag","WTE:S&S Ag Enterprises, LLC",21241,21241,0.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2016-11-08,"CAR965"
"380","CALS5074-C","Livestock","CSE Operating I, LLC","CSE Arizona Facility",13960,0,100.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2016-12-27,"CAR1076"
"379","CALS5094-A","Livestock","George DeRuyter and","George DeRuyter and Sons",18652,0,100.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2016-11-22,"CAR1080"
"378","CALS5122-B","Livestock","Bridgewater Dairy,","Bridgewater Dairy LLC",12129,12129,0.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2016-12-27,"CAR1122"
"377","CALS5123-B","Livestock","Central Sands Dairy,","Central Sands Dairy, LLC",16242,0,100.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2018-02-13,"CAR1123"
"376","CALS5124-B","Livestock","Willow Point Dairy,","Willow Point Dairy, LLC",18714,18714,0.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2016-12-27,"CAR1124"
